X,AerocomSystem.airCraft[40].router/queueLength:vector
460.897936541331,788
461.073017711804,789
461.630991748418,790
462.663312432768,791
462.968457917237,792
463.25911993549,793
464.076205561095,792
464.809657131611,793
464.941658651586,794
465.014233004782,795
465.710367276436,796
465.801480781504,797
467.680744182944,798
467.805253767582,799
468.068526703359,798
468.13546883273,799
469.302049272893,800
470.204219601881,801
470.993878146065,802
472.41876347417,803
473.043532443011,804
473.184706044259,805
473.747383784509,806
474.273736319097,807
474.486658694372,808
474.588711201837,807
474.629135443626,808
475.482885321303,809
475.49106221625,810
475.563593591798,811
476.103104438652,812
476.276887758891,813
476.556325122346,814
477.058436636021,813
479.345077819984,812
480.243398387257,813
480.267035015351,814
482.436936834013,815
482.580580344633,814
483.163585554312,815
483.322181634325,816
483.480196438253,817
483.561384076155,818
484.980787357721,819
486.105369437658,820
486.689907707614,821
487.779567547115,822
488.418604457725,823
488.948800128894,824
489.169735599141,825
489.190823889133,826
489.299877029554,827
489.476000946527,828
489.751511255651,829
489.858444855808,828
489.975127138768,829
491.236433810436,830
491.524557407328,831
491.532939939567,832
491.831692459418,833
492.017122147878,834
492.526319354883,833
492.678894990016,834
493.305966551311,835
494.164006403135,836
494.327354213422,837
495.258966116978,838
495.64792657101,839
495.786225893861,840
496.362057863721,841
496.683108052456,842
497.210835097747,843
497.934897552129,842
498.124758219033,843
498.475349104572,844
498.67620880798,845
498.847217948906,846
499.17022326457,847
499.198674215582,848
499.28013080986,849
499.433495832021,850
500.126649758662,851
500.377336219973,850
500.445881043448,851
500.454442548612,852
500.634121982074,853
500.677838579938,854
500.979751469427,855
502.058108753236,856
502.523233981576,857
502.997823201138,858
503.146363128094,859
503.490699213689,860
504.172656458824,861
504.428499592129,862
504.651948499548,863
505.370581354405,864
505.703304125197,865
505.718571768807,866
505.77452035308,867
505.849809626542,868
507.005379686381,869
507.515158068111,870
508.0063588438,871
508.111429370757,872
508.38381897651,873
508.390011790986,874
508.767854323841,873
509.10008951025,874
510.283236530567,875
510.664035911958,876
510.899436392669,875
511.202475525178,876
511.764465943088,877
512.497637266726,878
513.110759319148,879
514.107799470518,880
514.168334610042,881
514.224860333446,882
515.517222431886,881
515.916928866214,882
516.235982142352,883
516.85204908706,884
518.278384688012,885
518.4499806234,886
519.086878719962,887
519.530206544096,888
520.274897919484,889
520.473759788001,890
520.483984409328,891
520.51642633003,892
520.607570093963,891
521.463168676908,892
521.484130353556,893
521.961260945378,894
522.267877115902,895
523.262485663545,896
523.455873393026,895
523.890355963708,896
524.306254020352,897
524.515554673644,898
524.722911482572,899
524.794599842781,900
525.102882487627,901
525.87966542906,902
526.321640711931,903
526.514040041776,904
526.745716644918,905
527.778342009848,906
527.913343776199,907
528.918981024912,908
529.431192291843,907
529.501528181922,908
530.205707455925,909
530.595307487417,910
530.738691190843,911
530.940705965766,912
531.813526173285,913
532.302506652646,914
532.356837168848,915
532.481861937049,916
533.017256419732,917
533.266693713559,918
533.535558177682,919
533.562208722094,920
533.755664402979,921
533.787406048892,922
534.03390651344,923
534.239346489435,922
534.81464134182,923
535.093979543722,924
536.201853916859,925
536.388330319252,926
536.82847522228,927
536.962969141894,928
536.991978324449,929
537.141837310848,930
537.203994790307,931
538.084916345322,932
538.421030330579,933
538.972003903468,934
539.306953355201,935
542.295883177622,936
542.408376984797,937
543.878608267017,938
544.108625086449,939
544.72493188443,938
545.210358853275,939
545.278494810563,940
545.478918600619,941
545.690636382986,942
545.73912659667,943
546.14627471327,944
546.460932726877,945
546.596051429775,946
546.766364109403,947
546.921114180557,948
547.560831538497,947
547.630336805827,948
549.733336446101,949
550.190032551627,950
550.943075659416,951
551.072540696249,952
551.366133219405,953
551.496966285244,954
551.617224759655,955
552.045134673549,956
552.860718388607,957
553.266517958947,958
553.469271363362,959
554.582685520796,960
554.739676780158,961
555.06055574546,962
555.356289400144,963
556.18140510861,964
556.325117656216,965
556.409207518377,966
556.7262594938,967
556.767625301769,968
557.579878615788,967
558.367592793406,968
558.436815929765,969
558.603532718623,970
559.450846536973,971
559.621524020538,972
559.628957305495,973
559.940407295877,974
560.351912110254,973
560.367315650132,974
560.559917527635,975
560.560894272176,976
561.464341086488,977
561.621050268808,978
562.007596892463,979
563.228630598597,980
563.659514444026,981
564.506052485838,982
567.02381610351,983
567.345183982865,984
567.675246814105,985
568.290831423352,986
568.508756316877,985
568.572446268156,986
569.461142023687,987
569.483251109719,988
569.813161539224,989
570.179942478071,990
571.347521318037,989
571.724321023709,990
571.759148896174,991
573.413195457345,992
574.597398840535,993
574.707916783357,994
575.616261032986,995
575.784163088989,996
576.03064455645,997
576.564596150982,998
576.74250993353,999
576.852739519763,1000
576.965550840457,1001
577.067682953406,1002
577.488781623384,1003
577.769783901038,1004
577.844664246891,1005
577.987112704611,1006
578.118449963275,1007
578.201165598417,1006
578.389285839834,1007
578.524890761042,1008
578.551727037642,1009
578.825188265463,1010
579.778659152329,1011
579.80546649552,1012
580.197103795939,1013
580.456597844645,1014
580.515556474924,1015
580.62973982287,1016
581.106696534325,1015
581.275584455072,1016
581.306509245925,1017
581.428830205601,1018
581.565374384165,1019
583.535319348502,1020
584.981466216108,1021
585.224737189756,1022
585.236486002665,1023
585.91658465042,1024
586.5850092139,1025
586.939614127092,1026
587.034309806468,1025
587.374389777101,1026
587.665133475492,1027
588.033327917144,1028
588.06504240716,1029
588.097849798107,1030
588.480176892498,1031
589.576301664197,1030
590.029002294864,1031
590.716536332095,1032
590.884811806573,1033
592.224088133199,1034
593.090677924387,1035
594.339341948735,1036
594.370624377734,1037
594.819010494235,1038
595.304281651656,1039
595.578553311467,1040
595.640121586355,1041
596.312793982598,1042
597.05845819094,1041
597.364869915222,1042
597.641997326846,1043
597.96118257833,1044
598.868165759459,1045
599.10388260939,1046
599.561625146913,1047
600.223000156365,1046
600.601625648874,1047
600.677323158942,1048
601.165048702352,1049
601.328411746538,1050
602.522965314551,1051
602.915699811907,1052
603.081393573366,1053
603.545162055408,1054
603.986386403866,1055
604.16051766496,1056
604.821153323384,1057
605.260055106135,1058
605.602896315152,1057
605.908091219547,1058
605.955929649612,1059
606.573688566032,1060
606.849868370075,1061
606.960429513529,1062
607.225283810359,1063
607.618191341272,1064
608.911788224841,1065
610.046731097237,1064
610.294839454369,1065
610.458531666322,1066
611.320357587049,1067
611.332875376256,1068
611.691077104693,1069
611.8567845561,1070
612.16804589428,1071
612.736992959664,1072
612.849633494429,1073
612.98501967173,1074
613.079039325746,1075
613.623225106495,1076
613.774138803408,1077
614.165186468859,1078
614.428004655798,1079
614.453978486854,1080
615.580546847137,1081
616.141505428786,1082
616.259391288412,1083
616.404007790539,1082
617.313232905212,1083
617.49584074131,1084
617.767229536956,1085
617.96480625525,1086
618.507287640846,1087
619.62163560883,1088
620.188086523686,1089
620.314717867173,1090
620.614715423102,1089
621.118028409437,1090
621.313752991551,1091
621.656289181443,1092
622.180609374285,1093
622.261470917224,1094
