X,AerocomSystem.controlTower/responseTime:vector
31.252707447825,28.5831
31.317189823098,28.4902
31.388428549541,27.4684
31.42326100239,26.8632
31.440940272369,29.3417
31.522426133392,27.7882
31.57858253513,26.9309
31.698559555121,29.3434
31.879069891746,28.851
31.966264817461,28.2527
32.043931708723,29.6275
32.233563150784,26.5349
32.301482141216,29.1933
32.328554036722,30.3567
32.333810166391,28.7959
32.419593144039,28.785
32.48128036296,25.7332
32.508756519165,30.2955
32.594947435017,27.2852
32.780376463329,29.5212
32.796503130666,27.7238
32.899687755478,26.0654
32.92167009209,30.6334
33.28898820926,26.9321
33.371533649944,32.3489
33.378423818836,31.3711
33.404162405832,31.1875
33.634259721592,30.6252
33.798005781795,31.6746
33.825248774592,30.6849
33.836323205042,30.496
33.934434383703,32.7675
34.171548372663,31.9393
34.240629238627,30.9802
34.293678422407,31.7936
34.307991210243,33.2895
34.385847312325,31.631
34.479019066872,32.6332
34.519562912899,30.1557
34.600287235501,32.8405
34.621962245604,32.6358
34.660803015031,31.3684
34.860591966059,31.1585
35.017481288454,33.0502
35.138188402107,29.9467
35.180988318036,31.6431
35.26127048376,31.0891
35.673142128352,33.8255
35.745721371358,29.6007
35.874264075554,33.6966
35.948775854219,33.4293
36.053422435972,28.8137
36.145605944774,33.1081
36.161912286697,28.8239
36.176748129169,33.3501
36.273678892724,35.5843
36.371310156289,31.1249
36.449198571711,31.9627
36.457745921387,33.3077
36.561941002529,33.8675
36.594884774565,34.6184
36.84410086624,32.9065
36.850549622752,31.0543
36.902225871881,32.1536
36.991250846587,34.7905
37.00383713208,34.3432
37.033458464859,32.4333
37.079391071295,33.3709
37.089724776,34.7117
37.304212782481,33.4195
37.370615149638,33.5331
37.384703965407,36.2758
37.486713435518,33.2587
37.895180859282,34.6643
37.899509009335,32.0475
38.140860931619,31.0206
38.161535653157,33.5726
38.26509061448,30.8846
38.356633597356,35.808
38.357722737234,34.619
38.615910035874,36.1053
38.623910892005,35.7788
38.627281990745,37.884
38.846960181404,35.7993
38.85752641024,33.4884
38.945649150839,33.4839
39.043810160096,35.7507
39.201623916175,35.4235
39.260784839245,34.2062
39.272329042648,35.8183
39.41690114887,36.2327
39.424902114065,36.8794
39.441117085315,36.5566
39.44757774865,34.5456
39.476391572434,37.4958
39.479067661088,35.4629
39.527264801517,34.2822
39.77935952336,36.6534
40.027187516202,37.6942
40.260267668128,37.2443
40.289959463937,35.9572
40.312589883036,38.9884
40.336666793763,38.4823
40.430125659701,37.7389
40.499720333706,37.3242
40.545232146468,34.3671
40.639917282609,33.2359
40.661269190225,38.2264
40.744876249862,35.9878
40.756898231524,36.4506
40.825629744501,33.3161
40.827301492532,34.6182
40.865109990698,38.5304
40.945461260023,38.3212
40.945954373744,37.7475
41.357807912783,36.5649
41.389331948056,37.6626
41.601365810097,36.598
41.667608408544,39.6276
41.689559546832,34.3788
41.740493848298,38.8165
41.972814703117,35.5724
42.310939897892,37.8911
42.556638378505,36.1509
